region_name,state_name,lat_avg,lng_avg,percent_covered,percent_qualified
20303,District of Columbia,38.8753456,-77.004522933333348,33.333333333333336,0.0
57032,South Dakota,43.432287620189825,-96.698620463445423,0.028760425654299683,0.0
20002,District of Columbia,38.902011887607223,-76.990932678274149,72.129048777365256,54.614838480653177
20003,District of Columbia,38.884351269039243,-76.9911408306089,53.369418132611635,49.340770791075052
20001,District of Columbia,38.914421017448909,-77.017907545821,89.809725158562372,57.06214689265537
58505,North Dakota,46.814672572727275,-100.78024530909094,100.0,36.363636363636367
20010,District of Columbia,38.932896198666427,-77.030848243017672,95.408649266526965,60.323482428115014
20011,District of Columbia,38.952752761222477,-77.019597049913983,97.306604353708025,66.456016177957537
20009,District of Columbia,38.918930071323267,-77.036670597824482,95.469255663430417,61.2241054613936
20007,District of Columbia,38.913407729896917,-77.072504055432077,95.8366375892149,59.536615639222177
20017,District of Columbia,38.939735768292678,-76.991720552420233,98.161350844277678,73.5474006116208
87101,New Mexico,35.0720117,-106.64670288750004,100.0,87.5
19802,Delaware,39.757149881482007,-75.5334536126924,96.991929567131322,69.107413010590008
19805,Delaware,39.743371834444709,-75.582385111297654,96.934161109833681,69.107298173479876
19806,Delaware,39.758052457751937,-75.563664240944291,98.907681465821,72.996081225507666
59030,Montana,45.041422475129536,-110.71306305595851,77.461139896373055,50.668896321070235
02835,Rhode Island,41.527010960856032,-71.367990781686061,11.750972762645915,65.12141280353201
03224,New Hampshire,43.34573945079849,-71.552532458707333,1.2167300380228137,37.5
03854,New Hampshire,43.068377156357386,-70.7206272926117,89.69072164948453,56.321839080459768
20015,District of Columbia,38.966626093327953,-77.067127337210508,98.588994154404361,64.874258842772434
20016,District of Columbia,38.940725279769389,-77.089136680453066,98.578897975599943,75.234598123215008
20018,District of Columbia,38.9287489102949,-76.974014652224724,98.0108183563078,76.072636638775151
20019,District of Columbia,38.891042119042488,-76.937836860255857,97.259595542715644,71.645591105830434
20020,District of Columbia,38.86255374207358,-76.9710845235386,96.989270856141886,71.249576701659336
20037,District of Columbia,38.902702569373943,-77.050910864805317,77.834179357022,55.652173913043477
59411,Montana,48.783564653488384,-113.42579710406976,56.97674418604651,25.510204081632654
82644,Wyoming,42.843321581623925,-106.37182772478629,97.435897435897431,64.912280701754383
19801,Delaware,39.737850723876093,-75.548527980318454,95.224779522477945,67.381974248927037
20005,District of Columbia,38.907696066305824,-77.031010209201668,75.101488497970223,68.468468468468473
20012,District of Columbia,38.9774250064614,-77.027413371215388,98.250524842547236,76.305792972459642
20032,District of Columbia,38.835367119919219,-77.002886542100143,97.883683360258487,79.94718600429114
02822,Rhode Island,41.560695725242716,-71.5709465821444,5.4453355846348668,48.837209302325583
20008,District of Columbia,38.934988056447573,-77.059808106347077,97.7922729553437,66.187788609543361
02814,Rhode Island,41.900609702468735,-71.672665602468783,6.1553653719552335,42.245989304812831
02905,Rhode Island,41.785315051524762,-71.402329177792879,99.667874396135261,80.53620115116631
03229,New Hampshire,43.20776414737562,-71.699150092898748,2.1612349914236706,58.730158730158728
03234,New Hampshire,43.215104025009936,-71.351615188050744,1.3100436681222707,66.666666666666671
03303,New Hampshire,43.286184234438124,-71.626171573519656,42.257897462454686,58.946078431372548
03801,New Hampshire,43.066299356562325,-70.776115895666024,88.839779005524861,55.62465450525152
03856,New Hampshire,43.036563956999984,-70.954646219666813,57.0,56.432748538011694
03857,New Hampshire,43.073234786523251,-70.945486206409115,66.461808604038637,57.661822985468959
03878,New Hampshire,43.252001200779006,-70.877435345520681,84.15995845235004,60.259179265658744
19931,Delaware,38.571255441463421,-75.619915056707327,43.902439024390247,51.388888888888886
59401,Montana,47.509641522274883,-111.27137701678382,98.52917143324072,63.758500580527453
59417,Montana,48.59884357279666,-113.12411157265782,13.809854267869534,41.206030150753769
99506,Alaska,61.237119851940022,-149.78140399358506,83.859286083807547,91.9185687847008
02861,Rhode Island,41.8811045554763,-71.355004852830263,99.919466175793829,84.732297063903275
02888,Rhode Island,41.750097805860982,-71.408192920925288,99.491402276580288,72.310126582278485
02906,Rhode Island,41.837956436754837,-71.395253954367348,99.542530378842031,73.086313370673565
02910,Rhode Island,41.776660632926365,-71.437871943179843,99.803072075620321,84.04367271770586
02916,Rhode Island,41.8428646981517,-71.354903941172651,99.808795411089861,75.255427841634742
03820,New Hampshire,43.189079348859039,-70.8797275082213,78.1616549370868,60.832196452933154
03869,New Hampshire,43.226053790498831,-70.831565132422782,64.370546318289783,55.166051660516608
03870,New Hampshire,43.009274843493962,-70.760563243895575,38.47389558232932,58.559498956158663
19809,Delaware,39.772806617896968,-75.494759143343785,98.401682439537325,69.97221628553109
00733,Ponce,18.006706083307577,-66.6086927972179,81.452859350850076,81.59392789373814
02889,Rhode Island,41.709059633118642,-71.3935759786696,98.805084745762713,70.091774594733678
02914,Rhode Island,41.814415072526387,-71.3677828848557,99.718508092892336,89.2166549047283
57104,South Dakota,43.560835500817554,-96.733078641879558,90.924122726437631,68.4683774499899
02806,Rhode Island,41.744284433970932,-71.31738125188312,99.3920521945433,69.610622109503211
02907,Rhode Island,41.799918107431346,-71.424350676494413,99.798061389337647,86.321327397814656
02908,Rhode Island,41.839290174102494,-71.438756034556391,99.785504628584334,87.951125692951692
02915,Rhode Island,41.771641403119446,-71.35400202159353,98.949410053337644,74.256778830447573
03840,New Hampshire,43.035070923504883,-70.842786376564746,48.887343532684284,61.450924608819342
05401,Vermont,44.474494910817882,-73.21023808431616,97.154639175257728,73.938879456706289
